b_co,h_02,b_ci,h_i,r_i1,h_ci,b_i,Abi,case,error
0,72.74,0,62,31,0,62,0,0,
0,72.76,0,62,31,0,62,0,0,
0,72.82,0,62.7,31.35,0,62.7,0,0,
0,72.82,0,62.4,31.2,0,62.4,0,0,
0,72.74,0,62,31,0,62,0,0,
0,72.82,0,62,31,0,62,0,0,
0,79.2,0,62,31,0,62,0,0,
0,79.26,0,62,31,0,62,0,0,
0,79.28,0,62.7,31.35,0,62.7,0,0,
0,79.22,0,62.2,31.1,0,62.2,0,0,
0,85.42,0,61.8,30.9,0,61.8,0,0,
0,85.42,0,61.6,30.8,0,61.6,0,0,
0,85.38,0,61.4,30.7,0,61.4,0,0,
0,85.56,0,61.2,30.6,0,61.2,0,0,
0,98.52,0,80.3,40.15,0,80.3,0,0,
0,98.52,0,86.8,43.4,0,86.8,0,0,
0,98.48,0,80.5,40.25,0,80.5,0,0,
0,98.5,0,74,37,0,74,0,0,
0,98.48,0,61.4,30.7,0,61.4,0,0,
0,98.48,0,61.5,30.75,0,61.5,0,0,
0,85.7,0,63.5,31.75,0,63.5,0,0,
0,98.28,0,63.4,31.7,0,63.4,0,0,
0,98.2,0,76.1,38.05,0,76.1,0,0,
0,111.02,0,63.5,31.75,0,63.5,0,0,
0,111.02,0,76.1,38.05,0,76.1,0,0,
0,111.02,0,88.9,44.45,0,88.9,0,0,
0,342.36,0,231,115.5,0,231,0,0,
0,296,0,180,90,0,180,0,0,
0,292,0,180,90,0,180,0,0,
0,102.7,0,48.4,24.2,0,48.4,0,0,
0,105.2,0,48.4,24.2,0,48.4,0,0,
0,158.1,0,101.8,50.9,0,101.8,0,0,
0,107.4,0,48.4,24.2,0,48.4,0,0,
0,108.2,0,48.4,24.2,0,48.4,0,0,
0,159.5,0,101.8,50.9,0,101.8,0,0,
0,174,0,48,24,0,48,0,0,
0,174,0,48,24,0,48,0,0,
0,174,0,88,44,0,88,0,0,
0,174,0,88,44,0,88,0,0,
0,174,0,140,70,0,140,0,0,
0,174,0,140,70,0,140,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,234,0,114,57,0,114,0,0,
0,234,0,114,57,0,114,0,0,
0,294,0,165,82.5,0,165,0,0,
0,294,0,165,82.5,0,165,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,108,0,58,29,0,58,0,0,
0,114,0,32,16,0,32,0,0,
0,114,0,58,29,0,58,0,0,
0,114,0,88,44,0,88,0,0,
0,174,0,88,44,0,88,0,0,
0,156.2,0,38,19,0,38,0,0,
0,157.2,0,76,38,0,76,0,0,
0,157.2,0,114,57,0,114,0,0,
0,155,0,39,19.5,0,39,0,0,
0,155,0,77,38.5,0,77,0,0,
0,155,0,114,57,0,114,0,0,
0,153.72,0,40,20,0,40,0,0,
0,153.72,0,77,38.5,0,77,0,0,
0,152.72,0,115,57.5,0,115,0,0,
0,234,0,120,60,0,120,0,0,
0,234,0,120,60,0,120,0,0,
0,234,0,80,40,0,80,0,0,
0,234,0,80,40,0,80,0,0,
0,232,0,120,60,0,120,0,0,
0,232,0,120,60,0,120,0,0,
0,232,0,80,40,0,80,0,0,
0,232,0,80,40,0,80,0,0,
0,212.76,0,159,79.5,0,159,0,0,
0,212.76,0,159,79.5,0,159,0,0,
0,212.76,0,106,53,0,106,0,0,
0,212.76,0,106,53,0,106,0,0,
0,212.76,0,159,79.5,0,159,0,0,
0,212.76,0,159,79.5,0,159,0,0,
0,342.36,0,231,115.5,0,231,0,0,
0,342.36,0,231,115.5,0,231,0,0,
0,116.08,0,60,30,0,60,0,0,
0,116.08,0,60,30,0,60,0,0,
0,133.2,0,76.2,38.1,0,76.2,0,0,
0,133.2,0,76.2,38.1,0,76.2,0,0,
0,133.2,0,76.2,38.1,0,76.2,0,0,
0,133.2,0,76.2,38.1,0,76.2,0,0,
0,133.2,0,76.2,38.1,0,76.2,0,0,
0,133.2,0,76.2,38.1,0,76.2,0,0,
0,133.2,0,76.2,38.1,0,76.2,0,0,
0,133.2,0,76.2,38.1,0,76.2,0,0,
0,146.4,0,76.2,38.1,0,76.2,0,0,
0,146.4,0,76.2,38.1,0,76.2,0,0,
0,146.4,0,76.2,38.1,0,76.2,0,0,
0,146.4,0,76.2,38.1,0,76.2,0,0,
0,146.4,0,76.2,38.1,0,76.2,0,0,
0,146.4,0,76.2,38.1,0,76.2,0,0,
0,146.4,0,76.2,38.1,0,76.2,0,0,
0,146.4,0,76.2,38.1,0,76.2,0,0,
0,159.1,0,76.2,38.1,0,76.2,0,0,
0,159.1,0,76.2,38.1,0,76.2,0,0,
0,159.1,0,76.2,38.1,0,76.2,0,0,
0,159.1,0,76.2,38.1,0,76.2,0,0,
0,159.1,0,76.2,38.1,0,76.2,0,0,
0,159.1,0,76.2,38.1,0,76.2,0,0,
0,159.1,0,76.2,38.1,0,76.2,0,0,
0,159.1,0,76.2,38.1,0,76.2,0,0,
0,186.7,0,76.2,38.1,0,76.2,0,0,
0,186.7,0,76.2,38.1,0,76.2,0,0,
0,186.7,0,76.2,38.1,0,76.2,0,0,
0,186.7,0,76.2,38.1,0,76.2,0,0,
0,186.7,0,76.2,38.1,0,76.2,0,0,
0,186.7,0,76.2,38.1,0,76.2,0,0,
0,186.7,0,76.2,38.1,0,76.2,0,0,
0,186.7,0,76.2,38.1,0,76.2,0,0,
0,108.76,0,47.9,23.95,0,47.9,0,0,
0,161.44,0,101.2,50.6,0,101.2,0,0,
0,108.52,0,50.9,25.45,0,50.9,0,0,
0,161.96,0,101.9,50.95,0,101.9,0,0,
0,135,0,114,57,0,114,0,0,
0,135,0,114,57,0,114,0,0,
0,135,0,76,38,0,76,0,0,
0,135,0,76,38,0,76,0,0,
0,434,0,400,200,0,400,0,0,
0,434,0,400,200,0,400,0,0,
0,98.4,0,49.6,24.8,0,49.6,0,0,
0,98.4,0,50.9,25.45,0,50.9,0,0,
0,96.32,0,49.6,24.8,0,49.6,0,0,
0,96.32,0,50.9,25.45,0,50.9,0,0,
0,108.52,0,49.6,24.8,0,49.6,0,0,
0,108.52,0,50.9,25.45,0,50.9,0,0,
0,149.4,0,49.6,24.8,0,49.6,0,0,
0,149.4,0,76.2,38.1,0,76.2,0,0,
0,149.4,0,101.8,50.9,0,101.8,0,0,
0,149.4,0,101.9,50.95,0,101.9,0,0,
0,161.96,0,49.6,24.8,0,49.6,0,0,
0,161.96,0,76.2,38.1,0,76.2,0,0,
0,161.96,0,89.2,44.6,0,89.2,0,0,
0,161.96,0,101.8,50.9,0,101.8,0,0,
0,161.96,0,101.9,50.95,0,101.9,0,0,
0,161.96,0,114.1,57.05,0,114.1,0,0,
0,198.72,0,50.9,25.45,0,50.9,0,0,
0,198.72,0,76.2,38.1,0,76.2,0,0,
0,198.72,0,101.9,50.95,0,101.9,0,0,
0,198.72,0,152.6,76.3,0,152.6,0,0,
0,345,0,219,109.5,0,219,0,0,
0,345,0,219,109.5,0,219,0,0,
0,345,0,168,84,0,168,0,0,
0,102.6,0,60.3,30.15,0,60.3,0,0,
0,102.6,0,60.3,30.15,0,60.3,0,0,
0,108.84,0,60.3,30.15,0,60.3,0,0,
0,108.84,0,60.3,30.15,0,60.3,0,0,
0,102.6,0,60.3,30.15,0,60.3,0,0,
0,102.6,0,60.3,30.15,0,60.3,0,0,
0,108.84,0,60.3,30.15,0,60.3,0,0,
0,108.84,0,60.3,30.15,0,60.3,0,0,
0,134.36,0,22.1,11.05,0,22.1,0,0,
0,134.38,0,22.1,11.05,0,22.1,0,0,
0,134.42,0,22.1,11.05,0,22.1,0,0,
0,134.52,0,32,16,0,32,0,0,
0,134.36,0,31.9,15.95,0,31.9,0,0,
0,134.28,0,31.9,15.95,0,31.9,0,0,
0,134.28,0,38.1,19.05,0,38.1,0,0,
0,134.3,0,38,19,0,38,0,0,
0,134.4,0,37.9,18.95,0,37.9,0,0,
0,134.4,0,55.1,27.55,0,55.1,0,0,
