b_co,h_02,b_ci,h_i,r_i1,h_ci,b_i
143.6,93.6,68.6,45,0,38.6,75
143.6,93.6,68.6,45,0,38.6,75
154,114,54,60,0,54,60
154,114,74,60,0,54,80
154,114,94,60,0,54,100
164,124,54,60,0,54,60
164,124,74,60,0,54,80
164,124,94,60,0,54,100
114.08,74.08,14.72,19.9,0,14.72,19.9
114.1,74.1,14.66,20.9,0,15.56,20
114.04,74.04,14.68,20.9,0,15.68,19.9
114.06,74.06,17.26,20.3,0,17.26,20.3
114.04,73.94,17.14,20.2,0,17.14,20.2
114.06,73.96,17.12,20.2,0,17.12,20.2
114.08,73.98,17.14,20.2,0,17.14,20.2
92.24,72.14,14.8,20,0,14.8,20
92.42,72.22,14.7,20,0,14.7,20
280,230,135,100,0,85,150
280,230,140,100,0,90,150
280,230,142.5,100,0,92.5,150
280,230,144,100,0,94,150
280,230,135,100,0,85,150
280,230,140,100,0,90,150
280,230,142.5,100,0,92.5,150
280,230,144,100,0,94,150
280,230,135,100,0,85,150
280,230,140,100,0,90,150
280,230,142.5,100,0,92.5,150
280,230,144,100,0,94,150
285,235,135,100,0,85,150
285,235,140,100,0,90,150
285,235,142.5,100,0,92.5,150
285,235,144,100,0,94,150
285,235,135,100,0,85,150
285,235,140,100,0,90,150
285,235,142.5,100,0,92.5,150
285,235,144,100,0,94,150
285,235,135,100,0,85,150
285,235,140,100,0,90,150
285,235,142.5,100,0,92.5,150
285,235,144,100,0,94,150
288,238,135,100,0,85,150
288,238,140,100,0,90,150
288,238,142.5,100,0,92.5,150
288,238,144,100,0,94,150
288,238,135,100,0,85,150
288,238,140,100,0,90,150
288,238,142.5,100,0,92.5,150
288,238,144,100,0,94,150
288,238,135,100,0,85,150
288,238,140,100,0,90,150
288,238,142.5,100,0,92.5,150
288,238,144,100,0,94,150
290,240,135,100,0,85,150
290,240,140,100,0,90,150
290,240,142.5,100,0,92.5,150
290,240,144,100,0,94,150
290,240,135,100,0,85,150
290,240,140,100,0,90,150
290,240,142.5,100,0,92.5,150
290,240,144,100,0,94,150
290,240,135,100,0,85,150
290,240,140,100,0,90,150
290,240,142.5,100,0,92.5,150
290,240,144,100,0,94,150
