b_co,h_02,b_ci,h_i,r_i1,h_ci,b_i,Ahi,case,error
143.6,93.6,68.6,45,0,38.6,75,2822.270837,2,
143.6,93.6,68.6,45,0,38.6,75,2822.270837,2,
154,114,54,60,0,54,60,3313.503405,2,
154,114,74,60,0,54,80,3315.069551,2,
154,114,94,60,0,54,100,3360.470203,2,
164,124,54,60,0,54,60,4114.788376,2,
164,124,74,60,0,54,80,4040.210802,2,
164,124,94,60,0,54,100,4021.751995,2,
114.08,74.08,14.72,19.9,0,14.72,19.9,2711.640059,2,
114.1,74.1,14.66,20.9,0,15.56,20,2650.709897,2,
114.04,74.04,14.68,20.9,0,15.68,19.9,2645.450079,2,
114.06,74.06,17.26,20.3,0,17.26,20.3,2642.470211,2,
114.04,73.94,17.14,20.2,0,17.14,20.2,2642.748178,2,
114.06,73.96,17.12,20.2,0,17.12,20.2,2644.698928,2,
114.08,73.98,17.14,20.2,0,17.14,20.2,2646.012449,2,
92.24,72.14,14.8,20,0,14.8,20,2258.635679,2,
92.42,72.22,14.7,20,0,14.7,20,2269.181824,2,
280,230,135,100,0,85,150,13506.99431,2,
280,230,140,100,0,90,150,13447.08205,2,
280,230,142.5,100,0,92.5,150,13418.56862,2,
280,230,144,100,0,94,150,13401.90872,2,
280,230,135,100,0,85,150,13506.99431,2,
280,230,140,100,0,90,150,13447.08205,2,
280,230,142.5,100,0,92.5,150,13418.56862,2,
280,230,144,100,0,94,150,13401.90872,2,
280,230,135,100,0,85,150,13506.99431,2,
280,230,140,100,0,90,150,13447.08205,2,
280,230,142.5,100,0,92.5,150,13418.56862,2,
280,230,144,100,0,94,150,13401.90872,2,
285,235,135,100,0,85,150,14289.27899,2,
285,235,140,100,0,90,150,14219.59744,2,
285,235,142.5,100,0,92.5,150,14186.28169,2,
285,235,144,100,0,94,150,14166.76639,2,
285,235,135,100,0,85,150,14289.27899,2,
285,235,140,100,0,90,150,14219.59744,2,
285,235,142.5,100,0,92.5,150,14186.28169,2,
285,235,144,100,0,94,150,14166.76639,2,
285,235,135,100,0,85,150,14289.27899,2,
285,235,140,100,0,90,150,14219.59744,2,
285,235,142.5,100,0,92.5,150,14186.28169,2,
285,235,144,100,0,94,150,14166.76639,2,
288,238,135,100,0,85,150,14774.94126,2,
288,238,140,100,0,90,150,14699.26038,2,
288,238,142.5,100,0,92.5,150,14662.99496,2,
288,238,144,100,0,94,150,14641.72566,2,
288,238,135,100,0,85,150,14774.94126,2,
288,238,140,100,0,90,150,14699.26038,2,
288,238,142.5,100,0,92.5,150,14662.99496,2,
288,238,144,100,0,94,150,14641.72566,2,
288,238,135,100,0,85,150,14774.94126,2,
288,238,140,100,0,90,150,14699.26038,2,
288,238,142.5,100,0,92.5,150,14662.99496,2,
288,238,144,100,0,94,150,14641.72566,2,
290,240,135,100,0,85,150,15105.57735,2,
290,240,140,100,0,90,150,15025.83807,2,
290,240,142.5,100,0,92.5,150,14987.57711,2,
290,240,144,100,0,94,150,14965.12109,2,
290,240,135,100,0,85,150,15105.57735,2,
290,240,140,100,0,90,150,15025.83807,2,
290,240,142.5,100,0,92.5,150,14987.57711,2,
290,240,144,100,0,94,150,14965.12109,2,
290,240,135,100,0,85,150,15105.57735,2,
290,240,140,100,0,90,150,15025.83807,2,
290,240,142.5,100,0,92.5,150,14987.57711,2,
290,240,144,100,0,94,150,14965.12109,2,
